,City,Latitude,Longitude
0,Kelowna,49.888,-119.496
1,Dawson Creek,55.7596,-120.2337
2,Abbotsford,49.0504,-122.3045
3,Nanaimo,49.1659,-123.9401
4,Vancouver,49.2827,-123.1207
5,Vancouver,49.2827,-123.1207
6,Vancouver,49.2827,-123.1207
7,Penticton,49.4991,-119.5937
8,Nanaimo,49.1659,-123.9401
9,Abbotsford,49.0504,-122.3045
10,Vancouver,49.2827,-123.1207
11,Salmon Arm,50.7022,-119.2836
12,Terrace,54.5182,-128.6035
13,Vancouver,49.2827,-123.1207
14,Vancouver,49.2827,-123.1207
15,Vancouver,49.2827,-123.1207
16,Victoria,48.4284,-123.3656
17,Prince George,53.9171,-122.7497
18,Kelowna,49.888,-119.496
19,Victoria,48.4284,-123.3656
20,Nanaimo,49.1659,-123.9401
21,Vancouver,49.2827,-123.1207
22,Victoria,48.4284,-123.3656
23,Kelowna,49.888,-119.496
24,Kamloops,50.6745,-120.3273
25,Fort St. John,56.246,-120.8467
26,Vancouver,49.2827,-123.1207
27,Prince George,53.9171,-122.7497
28,Nanaimo,49.1659,-123.9401
29,Vancouver,49.2827,-123.1207
30,Nanaimo,49.1659,-123.9401
31,Vancouver,49.2827,-123.1207
32,Vancouver,49.2827,-123.1207
33,Dawson Creek,55.7596,-120.2337
34,Salmon Arm,50.7022,-119.2836
35,Cranbrook,49.512,-115.7694
36,Victoria,48.4284,-123.3656
37,Vancouver,49.2827,-123.1207
38,Abbotsford,49.0504,-122.3045
39,Kamloops,50.6745,-120.3273
40,Vancouver,49.2827,-123.1207
41,Kamloops,50.6745,-120.3273
42,Vancouver,49.2827,-123.1207
43,Squamish,49.7016,-123.155
44,Victoria,48.4284,-123.3656
45,Whistler,50.1163,-122.9574
46,Victoria,48.4284,-123.3656
47,Prince George,53.9171,-122.7497
48,Prince George,53.9171,-122.7497
49,Vancouver,49.2827,-123.1207
50,Salmon Arm,50.7022,-119.2836
51,Abbotsford,49.0504,-122.3045
52,Dawson Creek,55.7596,-120.2337
53,Squamish,49.7016,-123.155
54,Nanaimo,49.1659,-123.9401
55,Quesnel,52.9784,-122.4928
56,Vancouver,49.2827,-123.1207
57,Vancouver,49.2827,-123.1207
58,Vancouver,49.2827,-123.1207
59,Victoria,48.4284,-123.3656
60,Kelowna,49.888,-119.496
61,Victoria,48.4284,-123.3656
62,Terrace,54.5182,-128.6035
63,Kelowna,49.888,-119.496
64,Victoria,48.4284,-123.3656
65,Prince George,53.9171,-122.7497
66,Vancouver,49.2827,-123.1207
67,Cranbrook,49.512,-115.7694
68,Vancouver,49.2827,-123.1207
69,Trail,49.0955,-117.708
70,Abbotsford,49.0504,-122.3045
71,Vancouver,49.2827,-123.1207
72,Vancouver,49.2827,-123.1207
73,Cranbrook,49.512,-115.7694
74,Abbotsford,49.0504,-122.3045
75,Abbotsford,49.0504,-122.3045
76,Abbotsford,49.0504,-122.3045
77,Vancouver,49.2827,-123.1207
78,Kelowna,49.888,-119.496
79,Vancouver,49.2827,-123.1207
80,Penticton,49.4991,-119.5937
81,Prince Rupert,54.315,-130.3208
82,Victoria,48.4284,-123.3656
83,Vancouver,49.2827,-123.1207
84,Victoria,48.4284,-123.3656
85,Victoria,48.4284,-123.3656
86,Abbotsford,49.0504,-122.3045
87,Prince Rupert,54.315,-130.3208
88,Williams Lake,52.1415,-122.1417
89,Kamloops,50.6745,-120.3273
90,Vancouver,49.2827,-123.1207
91,Abbotsford,49.0504,-122.3045
92,Abbotsford,49.0504,-122.3045
93,Nanaimo,49.1659,-123.9401
94,Abbotsford,49.0504,-122.3045
95,Kamloops,50.6745,-120.3273
96,Prince George,53.9171,-122.7497
97,Kelowna,49.888,-119.496
98,Vancouver,49.2827,-123.1207
99,Vancouver,49.2827,-123.1207
100,Vancouver,49.2827,-123.1207
101,Prince Rupert,54.315,-130.3208
102,Victoria,48.4284,-123.3656
103,Kamloops,50.6745,-120.3273
104,Squamish,49.7016,-123.155
105,Victoria,48.4284,-123.3656
106,Kelowna,49.888,-119.496
107,Abbotsford,49.0504,-122.3045
108,Victoria,48.4284,-123.3656
109,Vancouver,49.2827,-123.1207
110,Victoria,48.4284,-123.3656
111,Vancouver,49.2827,-123.1207
112,Quesnel,52.9784,-122.4928
113,Cranbrook,49.512,-115.7694
114,Prince Rupert,54.315,-130.3208
115,Penticton,49.4991,-119.5937
116,Cranbrook,49.512,-115.7694
117,Vancouver,49.2827,-123.1207
118,Williams Lake,52.1415,-122.1417
119,Prince George,53.9171,-122.7497
120,Cranbrook,49.512,-115.7694
121,Squamish,49.7016,-123.155
122,Victoria,48.4284,-123.3656
123,Vancouver,49.2827,-123.1207
124,Victoria,48.4284,-123.3656
125,Kelowna,49.888,-119.496
126,Cranbrook,49.512,-115.7694
127,Penticton,49.4991,-119.5937
128,Vancouver,49.2827,-123.1207
129,Prince George,53.9171,-122.7497
130,Kelowna,49.888,-119.496
131,Victoria,48.4284,-123.3656
132,Vancouver,49.2827,-123.1207
133,Victoria,48.4284,-123.3656
134,Dawson Creek,55.7596,-120.2337
135,Victoria,48.4284,-123.3656
136,Prince George,53.9171,-122.7497
137,Abbotsford,49.0504,-122.3045
138,Kelowna,49.888,-119.496
139,Salmon Arm,50.7022,-119.2836
140,Salmon Arm,50.7022,-119.2836
141,Victoria,48.4284,-123.3656
142,Kamloops,50.6745,-120.3273
143,Victoria,48.4284,-123.3656
144,Victoria,48.4284,-123.3656
145,Vancouver,49.2827,-123.1207
146,Nanaimo,49.1659,-123.9401
147,Kamloops,50.6745,-120.3273
148,Vancouver,49.2827,-123.1207
149,Victoria,48.4284,-123.3656
150,Squamish,49.7016,-123.155
151,Victoria,48.4284,-123.3656
152,Vancouver,49.2827,-123.1207
153,Kamloops,50.6745,-120.3273
154,Trail,49.0955,-117.708
155,Victoria,48.4284,-123.3656
156,Whistler,50.1163,-122.9574
157,Abbotsford,49.0504,-122.3045
158,Victoria,48.4284,-123.3656
159,Abbotsford,49.0504,-122.3045
160,Kelowna,49.888,-119.496
161,Prince Rupert,54.315,-130.3208
162,Prince Rupert,54.315,-130.3208
163,Prince George,53.9171,-122.7497
164,Vancouver,49.2827,-123.1207
165,Terrace,54.5182,-128.6035
166,Victoria,48.4284,-123.3656
167,Vancouver,49.2827,-123.1207
168,Vancouver,49.2827,-123.1207
169,Nanaimo,49.1659,-123.9401
170,Abbotsford,49.0504,-122.3045
171,Vancouver,49.2827,-123.1207
172,Prince George,53.9171,-122.7497
173,Victoria,48.4284,-123.3656
174,Whistler,50.1163,-122.9574
175,Vancouver,49.2827,-123.1207
176,Abbotsford,49.0504,-122.3045
177,Kelowna,49.888,-119.496
178,Quesnel,52.9784,-122.4928
179,Vancouver,49.2827,-123.1207
180,Victoria,48.4284,-123.3656
181,Vancouver,49.2827,-123.1207
182,Quesnel,52.9784,-122.4928
183,Williams Lake,52.1415,-122.1417
184,Victoria,48.4284,-123.3656
185,Whistler,50.1163,-122.9574
186,Cranbrook,49.512,-115.7694
187,Nanaimo,49.1659,-123.9401
188,Prince George,53.9171,-122.7497
189,Victoria,48.4284,-123.3656
190,Vancouver,49.2827,-123.1207
191,Squamish,49.7016,-123.155
192,Squamish,49.7016,-123.155
193,Prince Rupert,54.315,-130.3208
194,Victoria,48.4284,-123.3656
195,Victoria,48.4284,-123.3656
196,Abbotsford,49.0504,-122.3045
197,Squamish,49.7016,-123.155
198,Williams Lake,52.1415,-122.1417
199,Abbotsford,49.0504,-122.3045
